[23:40:04.685] [INFO   ] thread main starting.
[23:40:04.725] [SEVERE ] cannot read configuration file config.properties trying from resources.
[23:40:23.062] [SEVERE ] updating countdown to 45037
[23:40:23.172] [SEVERE ] updating countdown to 44927
[23:40:23.282] [SEVERE ] updating countdown to 44817
[23:40:23.392] [SEVERE ] updating countdown to 44707
[23:40:23.500] [SEVERE ] updating countdown to 44599
[23:40:23.609] [SEVERE ] updating countdown to 44490
[23:40:23.611] [SEVERE ] key 81 was pressed by player 1
[23:40:23.717] [SEVERE ] updating countdown to 44382
[23:40:23.826] [SEVERE ] updating countdown to 44273
[23:40:23.936] [SEVERE ] updating countdown to 44163
[23:40:24.045] [SEVERE ] updating countdown to 44054
[23:40:24.154] [SEVERE ] updating countdown to 43945
[23:40:24.262] [SEVERE ] updating countdown to 43837
[23:40:24.370] [SEVERE ] updating countdown to 43729
[23:40:24.479] [SEVERE ] updating countdown to 43620
[23:40:24.588] [SEVERE ] updating countdown to 43511
[23:40:24.695] [SEVERE ] updating countdown to 43404
[23:40:24.807] [SEVERE ] updating countdown to 43292
[23:40:24.918] [SEVERE ] updating countdown to 43181
[23:40:25.024] [SEVERE ] updating countdown to 43075
[23:40:25.132] [SEVERE ] updating countdown to 42967
[23:40:25.240] [SEVERE ] updating countdown to 42859
[23:40:25.348] [SEVERE ] updating countdown to 42751
[23:40:25.455] [SEVERE ] updating countdown to 42644
[23:40:25.563] [SEVERE ] updating countdown to 42536
[23:40:25.670] [SEVERE ] updating countdown to 42429
[23:40:25.779] [SEVERE ] updating countdown to 42320
[23:40:25.887] [SEVERE ] updating countdown to 42212
[23:40:25.996] [SEVERE ] updating countdown to 42103
[23:40:26.106] [SEVERE ] updating countdown to 41993
[23:40:26.215] [SEVERE ] updating countdown to 41884
[23:40:26.324] [SEVERE ] updating countdown to 41775
[23:40:26.431] [SEVERE ] updating countdown to 41668
[23:40:26.540] [SEVERE ] updating countdown to 41559
[23:40:26.648] [SEVERE ] updating countdown to 41451
[23:40:26.758] [SEVERE ] updating countdown to 41341
[23:40:26.867] [SEVERE ] updating countdown to 41232
[23:40:26.974] [SEVERE ] updating countdown to 41125
[23:40:27.083] [SEVERE ] updating countdown to 41016
[23:40:27.194] [SEVERE ] updating countdown to 40905
[23:40:27.303] [SEVERE ] updating countdown to 40796
[23:40:27.410] [SEVERE ] updating countdown to 40689
[23:40:27.520] [SEVERE ] updating countdown to 40579
[23:40:27.629] [SEVERE ] updating countdown to 40470
[23:40:27.737] [SEVERE ] updating countdown to 40362
[23:40:27.848] [SEVERE ] updating countdown to 40251
[23:40:27.958] [SEVERE ] updating countdown to 40141
[23:40:28.069] [SEVERE ] updating countdown to 40030
[23:40:28.179] [SEVERE ] updating countdown to 39921
[23:40:28.286] [SEVERE ] updating countdown to 39813
[23:40:28.395] [SEVERE ] updating countdown to 39704
[23:40:28.503] [SEVERE ] updating countdown to 39596
[23:40:28.615] [SEVERE ] updating countdown to 39484
[23:40:28.725] [SEVERE ] updating countdown to 39374
[23:40:28.834] [SEVERE ] updating countdown to 39265
[23:40:28.944] [SEVERE ] updating countdown to 39155
[23:40:29.054] [SEVERE ] updating countdown to 39045
[23:40:29.161] [SEVERE ] updating countdown to 38938
[23:40:29.270] [SEVERE ] updating countdown to 38829
[23:40:29.379] [SEVERE ] updating countdown to 38720
[23:40:29.487] [SEVERE ] updating countdown to 38612
[23:40:29.596] [SEVERE ] updating countdown to 38503
[23:40:29.706] [SEVERE ] updating countdown to 38393
[23:40:29.814] [SEVERE ] updating countdown to 38285
[23:40:29.925] [SEVERE ] updating countdown to 38174
[23:40:30.034] [SEVERE ] updating countdown to 38065
[23:40:30.144] [SEVERE ] updating countdown to 37955
[23:40:30.254] [SEVERE ] updating countdown to 37845
[23:40:30.362] [SEVERE ] updating countdown to 37737
[23:40:30.471] [SEVERE ] updating countdown to 37628
[23:40:30.579] [SEVERE ] updating countdown to 37520
[23:40:30.688] [SEVERE ] updating countdown to 37411
[23:40:30.797] [SEVERE ] updating countdown to 37302
[23:40:30.906] [SEVERE ] updating countdown to 37193
[23:40:31.013] [SEVERE ] updating countdown to 37086
[23:40:31.122] [SEVERE ] updating countdown to 36977
[23:40:31.233] [SEVERE ] updating countdown to 36866
[23:40:31.343] [SEVERE ] updating countdown to 36756
[23:40:31.453] [SEVERE ] updating countdown to 36646
[23:40:31.560] [SEVERE ] updating countdown to 36539
[23:40:31.668] [SEVERE ] updating countdown to 36431
[23:40:31.776] [SEVERE ] updating countdown to 36323
[23:40:31.886] [SEVERE ] updating countdown to 36213
[23:40:31.995] [SEVERE ] updating countdown to 36104
[23:40:32.105] [SEVERE ] updating countdown to 35994
[23:40:32.215] [SEVERE ] updating countdown to 35884
[23:40:32.325] [SEVERE ] updating countdown to 35774
[23:40:32.435] [SEVERE ] updating countdown to 35664
[23:40:32.544] [SEVERE ] updating countdown to 35555
[23:40:32.653] [SEVERE ] updating countdown to 35446
[23:40:32.760] [SEVERE ] updating countdown to 35339
[23:40:32.870] [SEVERE ] updating countdown to 35229
[23:40:32.979] [SEVERE ] updating countdown to 35120
[23:40:33.088] [SEVERE ] updating countdown to 35011
[23:40:33.196] [SEVERE ] updating countdown to 34903
[23:40:33.305] [SEVERE ] updating countdown to 34794
[23:40:33.416] [SEVERE ] updating countdown to 34683
[23:40:33.525] [SEVERE ] updating countdown to 34574
[23:40:33.632] [SEVERE ] updating countdown to 34467
[23:40:33.740] [SEVERE ] updating countdown to 34359
[23:40:33.849] [SEVERE ] updating countdown to 34250
[23:40:33.957] [SEVERE ] updating countdown to 34142
[23:40:34.066] [SEVERE ] updating countdown to 34033
[23:40:34.176] [SEVERE ] updating countdown to 33923
[23:40:34.286] [SEVERE ] updating countdown to 33813
[23:40:34.395] [SEVERE ] updating countdown to 33704
[23:40:34.504] [SEVERE ] updating countdown to 33595
[23:40:34.613] [SEVERE ] updating countdown to 33486
[23:40:34.722] [SEVERE ] updating countdown to 33377
[23:40:34.830] [SEVERE ] updating countdown to 33269
[23:40:34.938] [SEVERE ] updating countdown to 33161
[23:40:35.047] [SEVERE ] updating countdown to 33052
[23:40:35.157] [SEVERE ] updating countdown to 32942
[23:40:35.265] [SEVERE ] updating countdown to 32834
[23:40:35.374] [SEVERE ] updating countdown to 32725
[23:40:35.483] [SEVERE ] updating countdown to 32616
[23:40:35.592] [SEVERE ] updating countdown to 32507
[23:40:35.701] [SEVERE ] updating countdown to 32398
[23:40:35.810] [SEVERE ] updating countdown to 32289
[23:40:35.921] [SEVERE ] updating countdown to 32178
[23:40:36.030] [SEVERE ] updating countdown to 32069
[23:40:36.138] [SEVERE ] updating countdown to 31961
[23:40:36.246] [SEVERE ] updating countdown to 31853
[23:40:36.356] [SEVERE ] updating countdown to 31743
[23:40:36.466] [SEVERE ] updating countdown to 31633
[23:40:36.573] [SEVERE ] updating countdown to 31526
[23:40:36.681] [SEVERE ] updating countdown to 31418
